code,course_idnumber
MC-006,mdec
MC-017,msdce
MC-001,mdtdo
MC-005,mcogc
MC-003,meto
MC-009,made
MC-007,mdce2
MC-008,mdgth
MC-019,mspth
MC-018,mstge
MC-004,megc
MC-012,mgecc
MC-013,mgirp
MC-014,miirp
MC-022,mvcc
MC-021,mtvc
MC-016,msslr
MC-010,mgrhl
MC-002,meomth
MC-020,mthd4
MC-056,mgich
MC-011,mecp
MC-015,mfpp
MC-039,mdead
MC-049,mlear
MC-038,mcol
MC-036,mcse
MC-045,mlthd
MC-050,mlgme
MC-035,maeri
MC-047,mloa
MC-040,melt
MC-043,mislt
MC-057,mdce
MC-048,mlce
MC-041,mfceo
MC-051,mmde
MC-037,mcohs
MC-044,miea
MC-046,mlee
MC-042,mhsgc
MC-026,mbpem
MC-027,mepe
MC-032,mlecve
MC-023,maeee
MC-030,mfcfc
MC-033,mmfie
MC-031,mfgfc
MC-028,megfe
MC-024,maedi
MC-025,mampp
MC-034,mmpm
MC-029,mfca
MC-053,mmdpb
MC-054,mpvmp
MC-055,mdmam
MC-052,mdmi
